name,lat,lng
Shanghai,31.1667,121.4667
Guangdong,23.1288,113.259
Beijing,39.905,116.3914
Sichuan,30.66,104.0633
Tianjin,39.1467,117.2056
Hebei,38.0422,114.5086
Hubei,30.5872,114.2881
Hunan,28.1987,112.9709
Shandong,36.6667,116.9833
Chongqing,29.5628,106.5528
Jilin,43.9,125.2
Jiangsu,32.05,118.7667
Anhui,31.8639,117.2808
Guangxi,22.8192,108.315
Shaanxi,34.2667,108.9
Liaoning,41.8039,123.4258
Henan,34.7492,113.6605
Zhejiang,30.25,120.1675
Yunnan,25.0433,102.7061
Fujian,26.0769,119.2917
Jiangxi,28.6842,115.8872
Heilongjiang,45.75,126.6333
Guizhou,26.5794,106.7078
Gansu,36.0617,103.8318
Shanxi,37.8733,112.5425
Xinjiang,43.8225,87.6125
Inner Mongolia,40.8151,111.6629
Qinghai,36.6239,101.7787
Hainan,20.02,110.32
Ningxia,38.4795,106.2254
Tibet,29.65,91.1
Hong Kong,22.305,114.185
Taiwan,25.0478,121.5319
Macau,22.203,113.545